,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2036,1085.39,1374.99,989.88,1184.17,1028.48,1272.91,1034.15,1094.84,1154.92,608.05,1373.51,1000.68,1058.09,767.7,1155.26,1286.7,866.4,963.56,997.77,1010.18,1058.32,860.16,1152.01,1021.37,989.11,569.65,1345.22,974.25,964.31,685.75,684.71,681.15,687.45
2037,986,1283.47,877.89,995.45,972.8,1139.45,992.94,1014.55,1112.82,611.42,1231.81,968.45,1015.28,677.54,994.13,1191.6,760.27,953.35,933.54,991.38,920.74,743.34,960.04,1076.76,977.25,603.39,1167.6,912.25,911.81,685.64,685.66,685.72,685.61
2038,1018.75,1274.56,918.98,1066,1038.19,1137.31,1040.6,1030.32,1090.87,580.39,1248.36,999.35,1023.37,691.5,1068.13,1190.18,774.5,976.05,985.59,997.45,1006.52,791.68,1046.18,1003.68,930.55,477.13,1100.48,991.76,987.49,578.45,582,594.19,572.64
2039,1111.17,1333.24,1017.85,1210.38,1076.51,1289.93,1082.68,1192.42,1187.98,587.69,1339.72,1044.98,1130.6,739.03,1234.69,1235.31,869.82,1013.7,1073.63,1059.74,1136.92,851.45,1152.25,1108.51,1011.58,535.47,1269.5,1076.81,1081.07,659.04,662.69,675.2,653.07
2040,991.01,1233.88,915.52,1082.43,951.94,1122.99,983.84,1021.55,1050.75,559.59,1238.74,900.43,948.07,722.56,1097.28,1139.96,809.55,908.15,929.65,913.13,990.02,774.85,1017.1,1099.12,1026.92,566.57,1329.45,795.95,785.32,715.62,710.75,694.08,723.57
2041,1021.12,1270.13,964.02,1125.3,945.91,1211.28,949.79,1031.31,1104.38,567.92,1282.33,937.41,1007.42,782.37,1102.07,1190.24,863.33,936.29,901.13,971.72,963.16,786.27,1061.7,1000.33,927.78,554.5,1158.43,955.56,942.41,656.43,657.04,659.15,655.42
2042,1020.41,1247.34,962.22,1095.17,990.27,1195.56,1065.91,1009.83,1094.43,566.95,1222.48,963.76,981.07,738.33,1080.79,1187.19,825.23,941.26,956.51,971.24,999.97,817.35,1049.42,963.93,900.6,532.55,1100.43,878.74,880.8,655.21,654.1,650.3,657.02
2043,1008.06,1279.02,927.87,1057.77,987.02,1169.67,1054.93,1002.28,1083.4,589.54,1244.43,936.97,971.14,733.13,1052.72,1190.75,812.82,935.17,973.34,938.44,991.57,801.32,1024.36,1076.47,1019.82,603.67,1143.28,1085.44,1078.69,714.78,719.22,734.42,707.53
2044,1018.84,1313.02,908.38,1081.94,973.88,1196.72,963.51,1027.33,1138.28,565.39,1264.86,950.02,1027.45,722.17,1046.5,1241.58,784.08,981.14,944.57,989.13,944.4,748.11,1061.17,1036.54,952.43,592.69,1088.87,958.6,946.13,716.65,717.47,720.27,715.31
2045,1012.79,1243.8,957.59,1097.91,951.73,1157.27,1023.57,1042.44,1076.03,573.07,1219.09,910.24,956.85,727.71,1108.94,1176.29,821.95,924.13,994.25,957.7,1058.83,815.91,1032.03,1000.4,953.79,571.73,1275.47,996.1,994.68,656.85,660.7,673.89,650.55
