Variable:,pr,,,,,,,,,,,,,,,,,,,
,Spain,Andalucía,Aragón,Principado de Asturias,Illes Balears,Canarias,Cantabria,Castilla y León,Castilla-La Mancha,Cataluña/Catalunya,Ciudad Autónoma de Ceuta,Comunitat Valenciana,Extremadura,Galicia,Comunidad de Madrid,Ciudad Autónoma de Melilla,Región de Murcia,Comunidad Foral de Navarra,País Vasco/Euskadi,La Rioja
2062,602.03,388.18,577.95,956.22,380.41,97.5,861.06,750.57,480.86,523.17,304.52,361.92,556.88,1011.97,605.32,268.82,302.51,737.36,804.02,730.64
2063,635.56,344.2,603,1083.21,346.01,105.06,961.48,853.35,500.49,507.72,281.33,397.29,554.24,1072.21,659.39,257.21,324.68,807.64,892.11,833.52
2064,617.37,376.28,601.9,1014.68,347.44,92.24,914.28,800.24,510.83,455.39,304.35,386.96,572.45,987.84,640.51,267.95,330.15,782.92,826.32,796.7
2065,600.4,323.41,585.2,1031.24,334.91,100.38,916.76,781.62,453.57,505.5,248.89,372.89,492.97,1040.36,582.67,213,299.84,758.86,843.81,764.72
2066,573.56,313.04,596.72,904.79,352.77,96.93,871.85,724.86,452.25,501.44,263.88,359.46,474.07,895.93,595.94,204.67,259.99,772.72,830.96,776.48
2067,598.34,328.39,573.01,1014.1,359.58,114.17,954.22,778.04,467.29,452.12,281.13,352.24,511.19,977.28,571.43,214.26,294.01,803.25,908.73,828.28
2068,581.54,331.76,550.87,920.52,360.33,126.61,840.54,750.55,448.97,485.9,288.62,366.37,523.7,1022.63,601.24,234.13,316.87,745.56,821.34,762.73
2069,583.65,306.53,588.41,905.48,328.29,68.64,844.08,779.1,472.48,479.63,224.57,381.99,495.2,937.91,587.86,284.44,305.45,762.98,804.91,767.18
2070,626.79,384.4,583.53,1023.04,311,77.18,892.18,815.73,495.19,496.44,263.01,352.21,631.53,1093.34,626.34,260.39,322.91,780.35,855.84,782.93
2071,583.91,339.52,561.57,918.11,341.16,92.61,862.06,742.53,452.93,494.1,261.99,369.3,548.4,980.41,566.38,263.03,327.41,744.8,829.98,773.72
2072,588.17,328.78,596.67,919.56,369.51,99.71,835.23,731.78,485.48,527.13,279.89,384.5,493.55,995.76,605.88,259.78,300.08,737,767.91,709.07
2073,648.39,386.49,711.24,895.37,366.43,100.7,884.81,771.71,546.5,590.2,302.97,487.38,566.13,931.98,617.79,247.2,370.22,860.58,882.41,844.74
2074,581.86,347.53,559.68,934.88,307.83,89.9,844.54,745.77,456.6,459.43,221.17,335.71,544.86,1013.11,594.95,215.36,277.63,759.79,813.14,750.92
2075,596.37,332.09,569.22,969,309.58,69.52,895.09,790.69,471.78,459.17,239.34,333.56,547.93,1008.5,638.69,214.48,278.05,790.82,857.72,791.37
2076,613.96,343.89,639.27,950.86,358.71,111.7,858.98,764.13,492.53,552.91,292.93,397.38,520.55,1083.34,582.84,270.35,311.2,770.53,851.82,775.12
2077,585.85,314.04,563.47,981.24,318.62,84.52,889.5,761.72,453.86,495.92,277.62,353.79,518.48,1058.09,616.24,270.11,286.2,736.6,818.91,749.04
2078,509.65,241.04,527.63,874.57,315.44,81.95,818.58,657.35,371.51,443.69,183.33,340.51,370.95,880.32,483.54,189.03,271.47,706.57,771.75,708.7
2079,517.63,260.34,527.02,824.95,282.02,91.49,796.87,674.39,381.3,432.17,222.57,318.48,420.05,905.47,543.03,217.66,247.41,731.07,791.17,726.26
2080,545.6,296.71,530.09,888.21,344.9,108.3,840.83,701.46,425.16,466.98,210.39,319.9,436.5,926.74,543.68,177.08,279.89,727.63,797.79,723.55
2081,493.87,282.38,482.47,820,316.62,81.8,745.12,637.39,358.31,448.87,222.3,288.67,423.64,912.55,470.37,181.66,250,615.37,682.94,618.05
2082,529.01,274.42,545.29,842.74,311.47,112.04,759.22,665.61,414.08,473.15,235.21,345.8,460.11,910.95,534.78,231.83,269.56,691.46,741.15,699.78
2083,516.07,279.51,478.89,901.09,276.83,90.19,799.18,661.89,387.64,421.81,208.53,289.36,432.44,952.8,525.03,213.28,248.47,679.61,756.09,711.25
2084,545.18,290.56,577.99,880.58,351.56,93.32,823.34,675.35,418.12,491.31,253.47,366.99,404.26,920.61,539.1,272.37,282.66,732.36,791.17,717.74
2085,567.63,294.01,547.14,950.06,338.25,101.92,896.14,734.07,408.34,491.31,231.94,329.22,531.35,1084.43,540.4,233.48,251.85,716.04,813.88,711.19
2086,559.14,321.17,557.11,908.21,329.81,103.75,848.49,708.03,450.46,441.03,320.97,338.33,470.64,958.93,584.88,220.85,272.81,733.47,793.28,726.57
2087,556.46,321.94,525.68,868.26,346.57,101.66,808.44,730.58,455.49,446.9,280.6,344.97,517.92,917.24,550.7,259.15,296.65,685.97,765.02,709.16
2088,546.83,283.4,538.62,871.8,331.84,72.55,848.32,708.19,433.64,460.9,215.52,361.88,440.78,848.86,547.25,233.55,299.43,723.55,809.45,725.72
2089,576.38,304.2,570.67,950.39,346.62,91.95,893.6,738.78,440.35,496.07,250.77,356.24,454.29,991.31,573.67,219.19,304.41,755.58,834.51,764.21
