Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
1928,870.14,801.62,931.33,962.78,886.42,784.16,1037.3,725.74,797.2,790.94,1046.6,823.66,669.25,805.48,922.57,825.82,753.3,792.42,805.96,741.82,833.54,960.27,1139.23,3258.84,2858.31,3055.19,1543.7,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1929,694.82,684.32,752.86,728.47,782.94,614.88,966.13,564.25,643.21,600.42,818.27,686.47,528.44,612.5,710,703.31,619.27,649.59,667.27,584.93,651.34,718.82,841.15,2979.34,2508.89,3055.19,1612.3,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1930,1033.94,1023.34,1183.51,1088.73,946.37,955.44,1155.21,874.92,992.61,781.2,1259.7,852.36,782.91,1022.69,1105.67,1059.67,1026.7,827.77,955.3,803.83,1032.63,1095.09,1258.14,2985.53,2449.25,3055.19,1410.7,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1931,879.87,974.75,968,1004.77,765.1,847.82,901.2,750.57,854.72,814.72,1108.64,735.08,703.58,812.8,960.5,926.3,794.85,748.74,746.61,735.71,833.76,985.86,1112.6,2995.13,2528.19,3055.19,1570.4,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1932,891.74,826.15,1081.33,1001.64,706.66,766.15,863.09,665.95,777.02,729.14,1025.27,650.49,586.87,1084.73,966.81,842.86,1087.79,712.6,677.22,654.43,812.67,1114.57,1105.42,3230.07,2808.94,3128.42,1700.2,2014.97,2056.04,3057.3,2985.81,2593.94,3174.2
1933,747.06,713.32,931.77,820.19,591.17,624.84,718.63,536.09,607.9,821.71,865.7,551.09,478.9,901.71,767.05,658.98,846.65,577.81,575.91,537.93,666.19,1026.51,981.19,3097.25,2674.32,3365.45,1262,2014.97,2056.04,3346.61,3270.9,2858.14,3470.4
1934,792.3,656.07,982.67,851.62,706.48,646.98,882.65,622.55,680.33,890.69,838.88,646.88,537.13,803.55,865.34,690.72,817.44,654.57,684.04,607.68,786.67,1048.14,975.66,2848.31,2220.34,2244.77,1708.5,2014.97,2056.04,2042.04,1990.13,1711.08,2126.9
1935,945.82,925.16,1061.79,1053.39,867.53,860.52,995.21,728.53,856.29,832.36,1217.11,800.78,667.79,916.93,988.34,927.22,878.6,828.37,777.73,746.59,860.44,1189.18,1297.93,2816.04,2216.53,2746.06,1322.1,2014.97,2056.04,2631.7,2569.56,2234.61,2733.3
1936,896.05,913.25,1124.9,912.52,807.46,723.62,933.21,706.53,794.37,850.55,1030.46,768.94,655.74,941.18,875.99,885.12,984.05,751.01,750.54,720.95,800.73,1123.22,1087.95,3245.83,2840.16,3318.71,1204.1,2014.97,2056.04,3232.97,3162.98,2772.41,3347.4
1937,918.52,874.56,1040.11,959.03,900.11,782.42,1034.3,770.46,849.78,994.09,1058.5,857.15,722.11,815.71,989.84,902.99,828.61,859,845.44,805.76,909.53,1087.24,1122.45,2981.86,2486.96,2297.46,2145.2,2014.97,2056.04,2128.4,2074.76,1787.59,2216.1
