Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2028,877.99,1199.52,896.47,464.29,1071.15,599.45,817.2,1239.13,1239.51,1254.49,1017.69,1164.23,732.2,782.88,989.18,1087.81,796.28,806.83,1269.63,1035.16,1347.26,1250.36,1283.84,896.78,728.49,1116.33,959.64,790.7,823.08,593.03,1318.52,1301.32,639.07,1221.98,1352.3,613.8,1145.61,870.03,1017.32,1230.96,1305.74,1233.57,748.33,1287.11,748.8,583.82,1323.46,1314.28,1099.05,1275.64,846.54,769.89
2029,860.31,1232.86,886.93,380.28,1009.81,598.06,780.22,1307.19,1245.25,1292.73,1054.71,1293.96,698.22,747.88,956.32,1048.4,846.45,797.58,1215.42,936.65,1426.1,1248.65,1406.46,882.15,715.54,1096.58,948.94,735.59,825.8,546.49,1428.09,1260.45,648.24,1285.05,1368.17,601.9,1148.65,770.34,1077.94,1255.21,1398.51,1311.67,730.94,1230.92,660.64,496.14,1377.01,1293.63,1160.64,1275.44,838.86,700.29
2030,847.35,1212.48,926.83,383.02,1013.06,558.4,728.91,1301.46,1256.8,1295.13,1024.24,1258.64,545.24,705.66,986.76,1096.85,794.57,810.18,1235.23,920.67,1316.23,1280.61,1298.13,938.95,708.14,1085.46,942.1,693.33,724.46,524.38,1305.53,1274.81,547.52,1216.22,1367.63,556.11,1132.08,794.45,925.86,1232.91,1318.81,1299.49,686.85,1255.54,682.09,505.02,1245.39,1320.36,1104.06,1276.6,855.11,692.21
2031,887.57,1232.39,888.05,452.07,1080.94,688.35,742.72,1295.91,1330.47,1353.76,973.94,1242.17,642.87,819.58,1028.83,1114.41,840.08,792.24,1295.94,985.07,1286.43,1331.62,1285.89,957.73,709.05,1122.46,1025.42,762.83,797.31,653.35,1283,1328.39,678.9,1252.64,1398.59,560.73,1195.88,840.08,1125.23,1266.43,1287.29,1288.47,705.04,1323.14,762.23,542.99,1259.37,1351.83,1158.94,1274.16,854.67,723.6
2032,879.24,1237.13,940.53,402.25,1141.46,597.43,767.6,1301.12,1346.07,1355.47,1083.57,1289.47,652.06,753.36,1039.75,1132.73,869.1,803.45,1275.06,1028.3,1315.42,1317.37,1307,964.65,681.08,1137.03,999.82,737.17,812.87,589.13,1302.5,1289.62,631.91,1201.23,1397.87,600.69,1166.36,793.39,992.44,1184.39,1324.54,1313.98,715.77,1296.53,716.22,527.33,1312.85,1342.46,1092.67,1259.76,869.24,727.5
2033,862.85,1156.27,898.49,381.39,999.94,503.41,759.94,1327.28,1239.31,1267.39,983.59,1208.46,523.62,783.05,1023.26,1132.81,867.64,862.74,1256.05,911.82,1344.69,1251.65,1334.22,980.04,707.57,1041.26,1005.67,769.94,866.42,531.19,1320.57,1292.77,565.99,1284.45,1257.26,552.07,1202.01,835.37,1034.77,1311.49,1311.33,1220.61,720,1247.85,659.38,539.76,1334.62,1274.78,1238.56,1287.52,898.61,729.43
2034,843.36,1140.67,933.7,324.33,969.4,507.6,757.73,1179.06,1307.39,1352.98,1015.47,1229.17,651.85,737.21,933.57,1098.69,771.63,796.97,1239.55,937.42,1372.36,1314.61,1244.47,914.1,664.59,1077.78,913.64,697.78,773.83,515.04,1286.94,1257.68,625.48,1217.65,1357.59,547.06,1175.04,771.76,978.95,1244.56,1217.2,1252.66,685.16,1213.25,671.8,508.02,1273.15,1359.56,1111.66,1333.98,790.53,687.89
2035,877.89,1208.06,885.65,428.66,1046.31,594,757.79,1274.76,1198.36,1215.97,992.64,1277.33,652.87,839.36,1020.61,1144.59,798.65,856.7,1289.88,960.23,1330.87,1189.2,1325.91,971.77,714.48,1115.17,983,755.45,813.08,591.65,1350.64,1230.64,675.99,1258.35,1349.96,568.25,1154.17,874.7,1087.16,1190.14,1277.93,1341.15,710.18,1291.62,708.57,571.82,1323.98,1273.91,1250.18,1227.81,876.11,723.49
2036,852.14,1168.02,923.93,357.56,962.55,510.29,686.53,1368.1,1314.97,1285.91,987.69,1133.38,725.59,742.64,1008.75,1098.77,878.06,755.53,1238.58,877.1,1328.16,1307.81,1393.63,1006.36,766.49,1057.25,929.07,735.04,784.34,535.64,1365.19,1307.88,556.41,1296.07,1312.13,612.26,1196.61,742.28,1079.96,1311.51,1403.88,1247.08,760.86,1214.7,617.53,491.58,1333.21,1280.61,1184.17,1320.5,919.23,702.93
2037,881.6,1177.78,896.56,358.96,1092.64,599.28,748.48,1350.23,1385.55,1458.01,1029.06,1213.95,701.26,796.88,1073.08,1169.87,884.34,819.61,1326.66,973.69,1389.86,1401.13,1416.24,993.68,682.76,1079.69,1032.45,765.06,835.53,566.66,1424.01,1333.51,618.04,1352.02,1426.46,559.97,1247.42,791.94,1071.87,1328.57,1364.44,1296.74,719.27,1327.11,706.74,498.44,1418.11,1410.88,1155.94,1357.17,879.88,726.13
2038,861.53,1191.21,921.69,351.99,1047.14,525.24,741.45,1247.7,1290.78,1253.15,1087.28,1244.58,578.74,729.63,993.86,1102,845.2,868.62,1285.39,968.93,1279.95,1249.9,1321.79,897.82,699.74,1115.34,993.52,743.1,834.86,510.71,1334.92,1261.52,679.88,1204.37,1385.56,577.17,1118.86,829.03,925.81,1171.22,1264.32,1321.3,708.25,1306.1,759.17,451.63,1327.39,1300.34,1125.54,1220.16,823.19,684.28
2039,874.6,1132.92,904.09,486.72,1041.46,531.82,769.72,1302.38,1266.04,1317.72,1022.27,1265.58,597.5,820.93,1040.57,1133.01,855.73,876.21,1286.07,785.58,1388.59,1285.92,1306.32,912.41,704.34,988.54,1084.54,787.94,862.08,592.66,1327.29,1291.31,642.78,1240.29,1379.4,609.58,1172.44,811.6,1032.05,1235.34,1306.21,1281.26,689.2,1273.02,666.15,592.23,1327,1316.61,1188.92,1249.68,857.38,729.64
2040,870.43,1211.48,910.73,379.37,1100.25,570.29,728.09,1279.78,1345.61,1322.48,976.6,1231.94,751.57,743.21,1028.76,1166.41,849.38,848.25,1283.46,1019.03,1340.42,1311.01,1281.92,959.39,716.06,1154.08,1015.06,709.16,840.49,539,1254.04,1287.46,593.36,1238.3,1356.65,585.15,1205.07,842.15,992.86,1230.69,1271.16,1284.47,705.52,1288.69,760.81,512.21,1254.68,1312.62,1138.91,1252.91,866.26,698.45
