Province,Year,Projected Precip,Projected Temp
Aquitaine,2044,908.38,14.27
Aquitaine,2045,957.59,14.31
Aquitaine,2046,898.9,14.31
Aquitaine,2047,917.95,14.6
Aquitaine,2048,933.07,14.62
Aquitaine,2049,940.27,14.2
Aquitaine,2050,901.47,14.49
Aquitaine,2051,957.11,14.59
Aquitaine,2052,973.13,14.61
Aquitaine,2053,921.16,14.97
Aquitaine,2054,1018.59,14.65
Aquitaine,2055,984.77,14.89
Aquitaine,2056,938.2,14.69
Aquitaine,2057,968.56,14.92
Aquitaine,2058,845.32,14.98
Aquitaine,2059,895.06,14.85
Aquitaine,2060,927.16,15.06
Aquitaine,2061,951.38,14.88
Aquitaine,2062,928.89,14.82
Aquitaine,2063,945.51,14.53
Aquitaine,2064,919.44,15.08
Aquitaine,2065,954.9,14.99
Aquitaine,2066,928.72,15.16
Aquitaine,2067,975.76,14.87
Aquitaine,2068,895.1,15.34
Aquitaine,2069,893.43,15.4
Aquitaine,2070,968.63,15.11
Aquitaine,2071,916.56,15.15
Aquitaine,2072,881.14,14.65
Aquitaine,2073,970.13,15.0
Aquitaine,2074,924.67,15.19
Aquitaine,2075,929.03,15.34
Aquitaine,2076,944.76,15.59
Aquitaine,2077,872.36,15.47
Aquitaine,2078,842.28,15.74
Aquitaine,2079,880.19,15.52
Aquitaine,2080,881.57,15.53
Aquitaine,2081,810.18,15.69
Aquitaine,2082,848.44,15.54
Aquitaine,2083,883.01,15.45
Aquitaine,2084,913.51,15.67
Aquitaine,2085,934.36,15.74
Aquitaine,2086,903.25,15.73
Aquitaine,2087,846.89,16.27
Aquitaine,2088,888.41,16.15
Aquitaine,2089,954.75,16.31
Aquitaine,2090,858.76,16.11
Aquitaine,2091,814.43,16.3
Aquitaine,2092,918.55,16.04
Aquitaine,2093,895.55,15.84
Aquitaine,2094,911.8,16.16
Aquitaine,2095,826.03,16.09
Aquitaine,2096,917.75,15.77
Aquitaine,2097,896.08,16.07
Aquitaine,2098,936.4,15.93
Aquitaine,2099,880.89,16.27
Aquitaine,2100,837.32,15.9
Bourgogne,2006,1136.25,11.35
Bourgogne,2007,1120.62,11.48
Bourgogne,2008,1129.09,11.54
Bourgogne,2009,1190.12,11.73
Bourgogne,2010,1234.25,11.25
Bourgogne,2011,1217.65,11.65
Bourgogne,2012,1206.1,11.25
Bourgogne,2013,1270.41,11.23
Bourgogne,2014,1219.58,11.51
Bourgogne,2015,1130.47,11.67
Bourgogne,2016,1205.64,11.84
Bourgogne,2017,1220.15,11.53
Bourgogne,2018,1144.47,11.69
Bourgogne,2019,1267.72,11.69
Bourgogne,2020,1254.75,11.4
Bourgogne,2021,1242.25,11.57
Bourgogne,2022,1195.99,11.98
Bourgogne,2023,1100.2,11.72
Bourgogne,2024,1229.15,11.42
Bourgogne,2025,1214.84,11.57
Bourgogne,2026,1253.57,11.88
Bourgogne,2027,1187.5,11.57
Bourgogne,2028,1133.47,11.68
Bourgogne,2029,1122.43,11.75
Bourgogne,2030,1262.13,11.74
Bourgogne,2031,1162.91,11.94
Bourgogne,2032,1081.13,11.65
Bourgogne,2033,1184.51,12.0
Bourgogne,2034,1252.5,11.89
Bourgogne,2035,1069.6,11.93
Bourgogne,2036,1272.91,11.9
Bourgogne,2037,1139.45,12.06
Bourgogne,2038,1137.31,11.81
Bourgogne,2039,1289.93,12.29
Bourgogne,2040,1122.99,12.11
Bourgogne,2041,1211.28,12.18
Bourgogne,2042,1195.56,12.07
Bourgogne,2043,1169.67,12.42
Bourgogne,2044,1196.72,12.1
Bourgogne,2045,1157.27,12.23
Bourgogne,2046,1172.39,12.19
Bourgogne,2047,1132.49,12.73
Bourgogne,2048,1180.56,12.55
Bourgogne,2049,1216.27,12.12
Bourgogne,2050,1078.42,12.47
Bourgogne,2051,1248.73,12.44
Bourgogne,2052,1224.49,12.4
Bourgogne,2053,1132.43,12.75
Bourgogne,2054,1230.33,12.57
Bourgogne,2055,1247.85,12.69
Bourgogne,2056,1206.97,12.81
Bourgogne,2057,1269.35,12.8
Bourgogne,2058,1104.62,12.97
Bourgogne,2059,1209.73,12.77
Bourgogne,2060,1145.94,12.99
Bourgogne,2061,1201.3,12.78
Bourgogne,2062,1177.48,12.76
Bourgogne,2063,1185.09,12.39
Bourgogne,2064,1126.79,12.79
Bourgogne,2065,1153.91,12.79
Bourgogne,2066,1153.71,13.1
Bourgogne,2067,1252.14,13.03
Bourgogne,2068,1148.1,13.27
Bourgogne,2069,1149.29,13.43
Bourgogne,2070,1226.09,13.04
Bourgogne,2071,1210.51,13.05
Bourgogne,2072,1168.0,12.53
Bourgogne,2073,1137.12,12.89
Bourgogne,2074,1189.06,13.03
Bourgogne,2075,1171.21,13.38
Bourgogne,2076,1184.02,13.37
Bourgogne,2077,1114.5,13.37
Bourgogne,2078,1061.45,13.44
Bourgogne,2079,1118.29,13.59
Bourgogne,2080,1088.28,13.53
Bourgogne,2081,1059.99,13.58
Bourgogne,2082,1088.28,13.41
Bourgogne,2083,1222.93,13.43
Bourgogne,2084,1110.2,13.66
Bourgogne,2085,1200.88,13.6
Bourgogne,2086,1147.0,13.63
Bourgogne,2087,1072.41,14.3
Bourgogne,2088,1112.07,13.88
Bourgogne,2089,1174.78,14.42
Bourgogne,2090,1066.2,14.07
Bourgogne,2091,1086.91,14.17
Bourgogne,2092,1181.15,13.82
Bourgogne,2093,1141.13,13.71
Bourgogne,2094,1222.36,13.97
Bourgogne,2095,1167.07,13.74
Bourgogne,2096,1184.14,14.01
Bourgogne,2097,1212.4,14.1
Bourgogne,2098,1245.58,13.91
Bourgogne,2099,1115.67,14.05
Bourgogne,2100,1099.25,13.86
Champagne-Ardenne,2006,1038.95,11.68
Champagne-Ardenne,2007,1067.56,11.62
Champagne-Ardenne,2008,1064.16,11.7
Champagne-Ardenne,2009,1087.75,11.95
Champagne-Ardenne,2010,1108.81,11.49
Champagne-Ardenne,2011,1116.87,11.83
Champagne-Ardenne,2012,1083.88,11.42
Champagne-Ardenne,2013,1143.45,11.34
Champagne-Ardenne,2014,1103.01,11.78
Champagne-Ardenne,2015,1077.98,11.86
Champagne-Ardenne,2016,1130.16,12.03
Champagne-Ardenne,2017,1159.09,11.85
Champagne-Ardenne,2018,1079.63,11.86
Champagne-Ardenne,2019,1164.93,11.81
Champagne-Ardenne,2020,1172.74,11.7
Champagne-Ardenne,2021,1137.15,11.9
Champagne-Ardenne,2022,1076.74,12.02
Champagne-Ardenne,2023,1066.34,11.97
Champagne-Ardenne,2024,1137.75,11.7
Champagne-Ardenne,2025,1115.62,11.72
Champagne-Ardenne,2026,1179.12,12.0
Champagne-Ardenne,2027,1098.2,11.78
Champagne-Ardenne,2028,1074.45,11.89
Champagne-Ardenne,2029,1044.27,11.99
Champagne-Ardenne,2030,1153.67,11.95
Champagne-Ardenne,2031,1094.49,12.19
Champagne-Ardenne,2032,1069.33,11.89
Champagne-Ardenne,2033,1084.87,12.17
Champagne-Ardenne,2034,1173.64,12.04
Champagne-Ardenne,2035,1057.98,12.06
Champagne-Ardenne,2036,1154.92,12.11
Champagne-Ardenne,2037,1112.82,12.14
Champagne-Ardenne,2038,1090.87,11.9
Champagne-Ardenne,2039,1187.98,12.47
Champagne-Ardenne,2040,1050.75,12.27
Champagne-Ardenne,2041,1104.38,12.41
Champagne-Ardenne,2042,1094.43,12.32
Champagne-Ardenne,2043,1083.4,12.6
Champagne-Ardenne,2044,1138.28,12.29
Champagne-Ardenne,2045,1076.03,12.45
Champagne-Ardenne,2046,1111.19,12.27
Champagne-Ardenne,2047,1064.23,12.81
Champagne-Ardenne,2048,1111.5,12.73
Champagne-Ardenne,2049,1146.8,12.32
Champagne-Ardenne,2050,1064.93,12.61
Champagne-Ardenne,2051,1184.54,12.63
Champagne-Ardenne,2052,1114.41,12.56
Champagne-Ardenne,2053,1079.73,12.98
Champagne-Ardenne,2054,1168.32,12.71
Champagne-Ardenne,2055,1130.06,12.88
Champagne-Ardenne,2056,1127.39,12.96
Champagne-Ardenne,2057,1187.23,12.95
Champagne-Ardenne,2058,1052.9,13.09
Champagne-Ardenne,2059,1121.0,12.91
Champagne-Ardenne,2060,1080.97,13.18
Champagne-Ardenne,2061,1137.99,12.85
Champagne-Ardenne,2062,1118.58,12.88
Champagne-Ardenne,2063,1174.85,12.55
Champagne-Ardenne,2064,1022.66,12.92
Champagne-Ardenne,2065,1171.24,12.95
Champagne-Ardenne,2066,1086.99,13.21
Champagne-Ardenne,2067,1137.53,13.32
Champagne-Ardenne,2068,1054.88,13.47
Champagne-Ardenne,2069,1136.02,13.54
Champagne-Ardenne,2070,1107.23,13.13
Champagne-Ardenne,2071,1157.07,13.15
Champagne-Ardenne,2072,1099.15,12.54
Champagne-Ardenne,2073,1081.23,12.96
Champagne-Ardenne,2074,1108.5,13.01
Champagne-Ardenne,2075,1086.77,13.32
Champagne-Ardenne,2076,1120.65,13.39
Champagne-Ardenne,2077,1047.84,13.54
Champagne-Ardenne,2078,1079.16,13.65
Champagne-Ardenne,2079,1108.14,13.75
Champagne-Ardenne,2080,1032.97,13.59
Champagne-Ardenne,2081,1037.29,13.71
Champagne-Ardenne,2082,1059.64,13.5
Champagne-Ardenne,2083,1122.52,13.63
Champagne-Ardenne,2084,1071.82,13.92
Champagne-Ardenne,2085,1136.66,13.72
Champagne-Ardenne,2086,1070.69,13.79
Champagne-Ardenne,2087,1059.49,14.31
Champagne-Ardenne,2088,1031.35,14.01
Champagne-Ardenne,2089,1100.79,14.52
Champagne-Ardenne,2090,965.09,14.06
Champagne-Ardenne,2091,1059.41,14.26
Champagne-Ardenne,2092,1076.89,13.91
Champagne-Ardenne,2093,1090.21,13.87
Champagne-Ardenne,2094,1156.81,14.05
Champagne-Ardenne,2095,1128.99,13.9
Champagne-Ardenne,2096,1112.84,14.1
Champagne-Ardenne,2097,1162.67,14.27
Champagne-Ardenne,2098,1156.24,14.1
Champagne-Ardenne,2099,1064.27,14.11
Champagne-Ardenne,2100,1029.98,13.96
Piemonte,2006,965.97,10.4
Piemonte,2007,893.92,10.48
Piemonte,2008,976.72,10.61
Piemonte,2009,1036.79,10.76
Piemonte,2010,974.33,10.22
Piemonte,2011,908.75,10.57
Piemonte,2012,928.24,10.4
Piemonte,2013,1008.9,10.31
Piemonte,2014,1013.08,10.66
Piemonte,2015,946.78,10.76
Piemonte,2016,999.45,11.0
Piemonte,2017,1009.55,10.62
Piemonte,2018,974.69,10.65
Piemonte,2019,1017.86,10.85
Piemonte,2020,1007.75,10.48
Piemonte,2021,1031.47,10.86
Piemonte,2022,948.36,11.08
Piemonte,2023,1021.97,10.71
Piemonte,2024,955.51,10.76
Piemonte,2025,949.08,10.68
Piemonte,2026,965.98,11.09
Piemonte,2027,931.9,10.66
Piemonte,2028,945.62,10.62
Piemonte,2029,915.9,10.88
Piemonte,2030,938.92,10.8
Piemonte,2031,953.8,11.03
Piemonte,2032,931.57,10.7
Piemonte,2033,910.6,11.15
Piemonte,2034,1037.09,10.95
Piemonte,2035,894.61,11.05
Piemonte,2036,1083.02,10.94
Piemonte,2037,897.63,11.2
Piemonte,2038,985.94,11.12
Piemonte,2039,1060.17,11.36
Piemonte,2040,964.25,11.14
Piemonte,2041,947.16,11.28
Piemonte,2042,954.33,11.2
Piemonte,2043,958.2,11.72
Piemonte,2044,944.93,11.21
Piemonte,2045,950.19,11.35
Piemonte,2046,962.13,11.48
Piemonte,2047,913.74,11.89
Piemonte,2048,961.15,11.58
Piemonte,2049,1008.55,11.29
Piemonte,2050,938.13,11.57
Piemonte,2051,954.84,11.65
Piemonte,2052,1013.96,11.76
Piemonte,2053,943.19,11.72
Piemonte,2054,994.45,11.7
Piemonte,2055,995.48,11.89
Piemonte,2056,996.25,11.87
Piemonte,2057,1011.91,11.97
Piemonte,2058,888.99,12.0
Piemonte,2059,996.23,11.9
Piemonte,2060,971.68,11.89
Piemonte,2061,974.93,11.89
Piemonte,2062,986.26,11.89
Piemonte,2063,1001.49,11.58
Piemonte,2064,953.34,11.94
Piemonte,2065,965.16,12.1
Piemonte,2066,962.56,12.23
Piemonte,2067,951.86,12.17
Piemonte,2068,990.71,12.33
Piemonte,2069,956.7,12.45
Piemonte,2070,983.33,12.2
Piemonte,2071,1012.65,12.18
Piemonte,2072,1011.31,11.89
Piemonte,2073,1052.5,11.93
Piemonte,2074,877.77,12.27
Piemonte,2075,1034.2,12.59
Piemonte,2076,961.88,12.56
Piemonte,2077,961.35,12.44
Piemonte,2078,851.49,12.43
Piemonte,2079,891.57,12.89
Piemonte,2080,958.23,12.84
Piemonte,2081,897.38,12.79
Piemonte,2082,874.49,12.84
Piemonte,2083,933.19,12.71
Piemonte,2084,971.65,12.8
Piemonte,2085,1005.63,12.87
Piemonte,2086,906.12,12.93
Piemonte,2087,942.24,13.31
Piemonte,2088,949.03,12.99
Piemonte,2089,991.58,13.26
Piemonte,2090,872.48,13.24
Piemonte,2091,872.89,13.17
Piemonte,2092,969.18,12.95
Piemonte,2093,926.2,12.97
Piemonte,2094,982.99,13.42
Piemonte,2095,894.53,13.13
Piemonte,2096,1015.6,13.12
Piemonte,2097,867.04,13.2
Piemonte,2098,990.04,13.11
Piemonte,2099,938.77,13.26
Piemonte,2100,990.82,13.12
Sardegna,2006,399.17,17.13
Sardegna,2007,434.81,17.09
Sardegna,2008,405.2,17.0
Sardegna,2009,471.8,17.12
Sardegna,2010,468.48,16.98
Sardegna,2011,426.7,17.19
Sardegna,2012,472.68,17.02
Sardegna,2013,377.87,16.94
Sardegna,2014,453.8,17.1
Sardegna,2015,406.06,17.24
Sardegna,2016,449.36,17.29
Sardegna,2017,401.08,17.17
Sardegna,2018,374.2,17.11
Sardegna,2019,414.94,17.35
Sardegna,2020,434.0,17.1
Sardegna,2021,431.08,17.39
Sardegna,2022,413.27,17.41
Sardegna,2023,433.18,17.35
Sardegna,2024,439.25,17.29
Sardegna,2025,421.86,17.25
Sardegna,2026,393.29,17.46
Sardegna,2027,403.4,17.19
Sardegna,2028,434.01,17.3
Sardegna,2029,394.7,17.4
Sardegna,2030,409.91,17.31
Sardegna,2031,384.57,17.49
Sardegna,2032,415.38,17.1
Sardegna,2033,357.05,17.62
Sardegna,2034,458.35,17.41
Sardegna,2035,373.11,17.54
Sardegna,2036,422.86,17.38
Sardegna,2037,394.97,17.68
Sardegna,2038,466.25,17.69
Sardegna,2039,423.76,17.7
Sardegna,2040,400.29,17.55
Sardegna,2041,402.12,17.78
Sardegna,2042,403.76,17.74
Sardegna,2043,448.27,17.91
Sardegna,2044,423.57,17.82
Sardegna,2045,434.35,17.87
Sardegna,2046,344.63,17.76
Sardegna,2047,464.55,17.97
Sardegna,2048,440.14,17.92
Sardegna,2049,410.58,17.73
Sardegna,2050,389.82,17.74
Sardegna,2051,383.81,17.95
Sardegna,2052,399.74,18.22
Sardegna,2053,404.44,17.99
Sardegna,2054,414.66,18.18
Sardegna,2055,461.93,18.16
Sardegna,2056,448.6,18.29
Sardegna,2057,441.14,18.34
Sardegna,2058,383.03,18.35
Sardegna,2059,395.17,18.1
Sardegna,2060,388.05,18.33
Sardegna,2061,415.61,18.38
Sardegna,2062,421.26,18.13
Sardegna,2063,428.21,18.07
Sardegna,2064,417.98,18.38
Sardegna,2065,423.56,18.4
Sardegna,2066,426.97,18.39
Sardegna,2067,420.34,18.31
Sardegna,2068,442.91,18.6
Sardegna,2069,405.13,18.75
Sardegna,2070,369.02,18.48
Sardegna,2071,392.66,18.37
Sardegna,2072,433.27,18.27
Sardegna,2073,458.78,18.14
Sardegna,2074,376.79,18.53
Sardegna,2075,409.49,18.8
Sardegna,2076,413.7,18.9
Sardegna,2077,388.49,18.8
Sardegna,2078,325.75,18.8
Sardegna,2079,386.32,18.9
Sardegna,2080,364.08,18.71
Sardegna,2081,359.68,18.95
Sardegna,2082,360.54,18.99
Sardegna,2083,343.98,18.94
Sardegna,2084,450.8,18.84
Sardegna,2085,404.04,19.0
Sardegna,2086,364.46,19.03
Sardegna,2087,388.92,19.2
Sardegna,2088,381.35,19.13
Sardegna,2089,384.93,19.28
Sardegna,2090,440.56,19.26
Sardegna,2091,368.47,19.21
Sardegna,2092,426.75,19.13
Sardegna,2093,409.41,19.18
Sardegna,2094,372.72,19.44
Sardegna,2095,369.74,19.16
Sardegna,2096,436.39,18.93
Sardegna,2097,444.27,19.25
Sardegna,2098,403.52,19.07
Sardegna,2099,404.68,19.35
Sardegna,2100,407.74,19.33
Sicilia,2006,388.28,18.76
Sicilia,2007,392.77,18.72
Sicilia,2008,329.45,18.58
Sicilia,2009,385.15,18.75
Sicilia,2010,356.4,18.66
Sicilia,2011,394.4,18.77
Sicilia,2012,402.24,18.62
Sicilia,2013,368.81,18.53
Sicilia,2014,350.44,18.74
Sicilia,2015,357.95,18.78
Sicilia,2016,331.81,18.95
Sicilia,2017,382.36,18.9
Sicilia,2018,366.66,18.75
Sicilia,2019,350.02,19.03
Sicilia,2020,374.69,18.76
Sicilia,2021,356.07,19.02
Sicilia,2022,386.99,19.04
Sicilia,2023,449.42,19.08
Sicilia,2024,390.93,18.95
Sicilia,2025,332.44,18.81
Sicilia,2026,344.41,19.16
Sicilia,2027,336.44,18.89
Sicilia,2028,337.91,19.04
Sicilia,2029,321.24,19.09
Sicilia,2030,376.11,18.91
Sicilia,2031,351.97,19.11
Sicilia,2032,411.81,18.77
Sicilia,2033,317.39,19.15
Sicilia,2034,401.72,19.15
Sicilia,2035,299.32,19.35
Sicilia,2036,341.11,19.15
Sicilia,2037,345.94,19.1
Sicilia,2038,407.79,19.36
Sicilia,2039,373.43,19.41
Sicilia,2040,340.95,19.27
Sicilia,2041,339.58,19.32
Sicilia,2042,334.14,19.35
Sicilia,2043,399.74,19.48
Sicilia,2044,360.92,19.5
Sicilia,2045,410.83,19.55
Sicilia,2046,299.28,19.44
Sicilia,2047,418.36,19.62
Sicilia,2048,381.48,19.61
Sicilia,2049,366.6,19.52
Sicilia,2050,356.13,19.47
Sicilia,2051,315.42,19.59
Sicilia,2052,366.67,19.85
Sicilia,2053,333.3,19.62
Sicilia,2054,384.37,20.04
Sicilia,2055,355.33,19.82
Sicilia,2056,333.29,19.9
Sicilia,2057,385.43,19.91
Sicilia,2058,295.35,19.85
Sicilia,2059,329.15,19.76
Sicilia,2060,357.22,19.91
Sicilia,2061,373.94,19.92
Sicilia,2062,338.13,19.94
Sicilia,2063,302.56,19.72
Sicilia,2064,342.12,19.99
Sicilia,2065,345.14,20.06
Sicilia,2066,416.1,19.91
Sicilia,2067,387.81,20.05
Sicilia,2068,386.2,20.24
Sicilia,2069,392.03,20.2
Sicilia,2070,326.31,20.26
Sicilia,2071,366.44,20.08
Sicilia,2072,385.72,20.02
Sicilia,2073,368.13,19.93
Sicilia,2074,347.98,20.21
Sicilia,2075,305.22,20.54
Sicilia,2076,336.75,20.55
Sicilia,2077,313.03,20.51
Sicilia,2078,310.22,20.47
Sicilia,2079,304.83,20.62
Sicilia,2080,307.17,20.36
Sicilia,2081,338.57,20.52
Sicilia,2082,310.81,20.64
Sicilia,2083,313.19,20.66
Sicilia,2084,328.92,20.58
Sicilia,2085,341.89,20.59
Sicilia,2086,282.87,20.71
Sicilia,2087,320.1,20.92
Sicilia,2088,310.98,20.71
Sicilia,2089,391.62,20.85
Sicilia,2090,339.95,20.97
Sicilia,2091,305.63,20.73
Sicilia,2092,331.23,20.78
Sicilia,2093,352.53,20.89
Sicilia,2094,331.65,21.17
Sicilia,2095,288.83,20.83
Sicilia,2096,340.31,20.67
Sicilia,2097,353.3,20.85
Sicilia,2098,352.78,20.76
Sicilia,2099,350.83,21.03
Sicilia,2100,339.73,20.97
Toscana,2006,715.25,15.45
Toscana,2007,737.18,15.55
Toscana,2008,708.52,15.4
Toscana,2009,794.82,15.68
Toscana,2010,785.16,15.46
Toscana,2011,731.08,15.58
Toscana,2012,715.43,15.37
Toscana,2013,718.36,15.23
Toscana,2014,708.34,15.52
Toscana,2015,705.63,15.73
Toscana,2016,743.75,15.79
Toscana,2017,768.69,15.6
Toscana,2018,730.54,15.63
Toscana,2019,784.56,15.74
Toscana,2020,754.04,15.53
Toscana,2021,755.32,15.86
Toscana,2022,672.71,15.91
Toscana,2023,741.34,15.84
Toscana,2024,722.6,15.68
Toscana,2025,661.52,15.82
Toscana,2026,693.7,16.02
Toscana,2027,694.0,15.7
Toscana,2028,731.92,15.61
Toscana,2029,639.71,15.82
Toscana,2030,700.67,15.83
Toscana,2031,666.91,15.99
Toscana,2032,741.9,15.61
Toscana,2033,611.43,16.08
Toscana,2034,743.38,15.97
Toscana,2035,657.65,16.1
Toscana,2036,760.96,15.96
Toscana,2037,705.72,16.1
Toscana,2038,662.89,16.14
Toscana,2039,725.4,16.37
Toscana,2040,725.72,16.1
Toscana,2041,726.75,16.27
Toscana,2042,707.14,16.27
Toscana,2043,710.48,16.64
Toscana,2044,655.84,16.15
Toscana,2045,750.46,16.38
Toscana,2046,667.74,16.39
Toscana,2047,765.16,16.79
Toscana,2048,733.44,16.7
Toscana,2049,698.03,16.32
Toscana,2050,664.51,16.21
Toscana,2051,666.35,16.51
Toscana,2052,774.58,16.7
Toscana,2053,694.48,16.59
Toscana,2054,707.99,16.64
Toscana,2055,718.89,16.8
Toscana,2056,706.22,16.85
Toscana,2057,698.88,16.97
Toscana,2058,633.96,16.89
Toscana,2059,671.78,16.72
Toscana,2060,738.44,16.83
Toscana,2061,686.83,16.87
Toscana,2062,746.4,16.75
Toscana,2063,761.92,16.58
Toscana,2064,709.89,16.95
Toscana,2065,754.39,16.86
Toscana,2066,728.84,17.03
Toscana,2067,736.41,16.98
Toscana,2068,677.95,17.29
Toscana,2069,669.22,17.34
Toscana,2070,712.26,17.13
Toscana,2071,695.81,17.04
Toscana,2072,734.15,16.82
Toscana,2073,761.99,16.77
Toscana,2074,645.66,17.11
Toscana,2075,705.48,17.38
Toscana,2076,703.64,17.42
Toscana,2077,691.71,17.44
Toscana,2078,627.8,17.24
Toscana,2079,640.6,17.74
Toscana,2080,651.55,17.38
Toscana,2081,646.58,17.8
Toscana,2082,610.31,17.74
Toscana,2083,658.59,17.54
Toscana,2084,723.56,17.62
Toscana,2085,676.26,17.77
Toscana,2086,687.34,17.77
Toscana,2087,666.84,17.98
Toscana,2088,702.93,17.81
Toscana,2089,705.19,17.89
Toscana,2090,687.08,18.07
Toscana,2091,618.95,17.99
Toscana,2092,762.54,17.85
Toscana,2093,658.28,17.81
Toscana,2094,702.69,18.24
Toscana,2095,605.26,17.94
Toscana,2096,756.89,17.85
Toscana,2097,676.03,18.03
Toscana,2098,708.61,17.93
Toscana,2099,657.83,18.18
Toscana,2100,716.24,17.91
Veneto,2006,857.27,13.82
Veneto,2007,865.24,14.14
Veneto,2008,868.73,13.92
Veneto,2009,902.72,14.3
Veneto,2010,931.79,14.16
Veneto,2011,895.67,14.09
Veneto,2012,880.47,13.84
Veneto,2013,850.23,13.49
Veneto,2014,843.91,13.95
Veneto,2015,816.66,14.32
Veneto,2016,917.74,14.27
Veneto,2017,945.64,14.12
Veneto,2018,929.95,13.92
Veneto,2019,1038.29,14.27
Veneto,2020,986.46,14.13
